,Q29
10199,"100,000-124,999"
10200,"50,000-59,999"
10202,"80,000-89,999"
10210,"7,500-9,999"
10215,"3,000-3,999"
10217,"40,000-49,999"
10220,"3,000-3,999"
10229,"3,000-3,999"
10230,"7,500-9,999"
10235,"70,000-79,999"
10240,"5,000-7,499"
10241,"20,000-24,999"
10243,"7,500-9,999"
10244,"125,000-149,999"
10245,"150,000-199,999"
10252,"90,000-99,999"
10258,"100,000-124,999"
10259,"40,000-49,999"
10260,$0-999
10261,"100,000-124,999"
10263,"150,000-199,999"
10264,"150,000-199,999"
10270,"5,000-7,499"
10271,"25,000-29,999"
10273,$0-999
10278,"2,000-2,999"
10282,"30,000-39,999"
10286,$0-999
10287,"40,000-49,999"
10288,"70,000-79,999"
10293,"5,000-7,499"
10298,"10,000-14,999"
10301,"10,000-14,999"
10302,$0-999
10306,$0-999
10311,"10,000-14,999"
10313,"200,000-249,999"
10314,"80,000-89,999"
10317,"7,500-9,999"
10323,"80,000-89,999"
10324,"5,000-7,499"
10325,"15,000-19,999"
10328,"5,000-7,499"
10331,$0-999
10333,"100,000-124,999"
10339,"40,000-49,999"
10340,"50,000-59,999"
10344,"10,000-14,999"
10351,"7,500-9,999"
10356,"15,000-19,999"
10359,"30,000-39,999"
10361,"1,000-1,999"
10363,"40,000-49,999"
10364,"3,000-3,999"
10366,$0-999
10367,"3,000-3,999"
10368,"20,000-24,999"
10375,"125,000-149,999"
10381,"5,000-7,499"
10384,"50,000-59,999"
10385,"40,000-49,999"
10386,"10,000-14,999"
10389,"25,000-29,999"
10390,"30,000-39,999"
10391,"250,000-299,999"
10393,"2,000-2,999"
10395,"15,000-19,999"
10396,"3,000-3,999"
10402,"40,000-49,999"
10403,"1,000-1,999"
10408,"1,000-1,999"
10409,"40,000-49,999"
10411,"15,000-19,999"
10413,"100,000-124,999"
10414,"150,000-199,999"
10417,"2,000-2,999"
10418,$0-999
10426,$0-999
10427,"150,000-199,999"
10428,"3,000-3,999"
10430,"30,000-39,999"
10434,"10,000-14,999"
10435,"15,000-19,999"
10436,"90,000-99,999"
10437,"300,000-499,999"
10440,"70,000-79,999"
10442,"80,000-89,999"
10444,"100,000-124,999"
10451,"100,000-124,999"
10454,"40,000-49,999"
10459,"15,000-19,999"
10471,"25,000-29,999"
10474,"10,000-14,999"
10476,"50,000-59,999"
10477,$0-999
10481,"70,000-79,999"
10483,$0-999
10484,"15,000-19,999"
10487,"7,500-9,999"
10489,$0-999
10497,"1,000-1,999"
10500,"70,000-79,999"
10506,"25,000-29,999"
10512,$0-999
10517,"100,000-124,999"
10521,"7,500-9,999"
10527,$0-999
10530,"100,000-124,999"
10532,"100,000-124,999"
10533,$0-999
10534,$0-999
10538,"20,000-24,999"
10542,"50,000-59,999"
10545,"4,000-4,999"
10551,$0-999
10552,$0-999
10556,"1,000-1,999"
10557,$0-999
10559,"125,000-149,999"
10562,"200,000-249,999"
10564,"20,000-24,999"
10565,"25,000-29,999"
10566,"40,000-49,999"
10568,"15,000-19,999"
10570,"125,000-149,999"
10582,"50,000-59,999"
10584,$0-999
10589,"30,000-39,999"
10592,"50,000-59,999"
10594,"100,000-124,999"
10595,"7,500-9,999"
10597,"1,000-1,999"
10603,"10,000-14,999"
10609,$0-999
10611,$0-999
10613,"1,000-1,999"
10616,"70,000-79,999"
10617,"5,000-7,499"
10624,"50,000-59,999"
10626,$0-999
10631,"40,000-49,999"
10632,$0-999
10642,"40,000-49,999"
10649,"70,000-79,999"
10650,"7,500-9,999"
10651,"40,000-49,999"
10654,$0-999
10665,"100,000-124,999"
10667,$0-999
10668,"300,000-499,999"
10669,"25,000-29,999"
10672,"10,000-14,999"
10673,"4,000-4,999"
10674,"20,000-24,999"
10675,"7,500-9,999"
10678,$0-999
10679,"25,000-29,999"
10680,"100,000-124,999"
10684,"5,000-7,499"
10686,"5,000-7,499"
10693,"40,000-49,999"
10694,"30,000-39,999"
10698,$0-999
10708,"1,000-1,999"
10709,"40,000-49,999"
10714,"10,000-14,999"
10716,"30,000-39,999"
10717,$0-999
10719,"5,000-7,499"
10722,"15,000-19,999"
10726,"5,000-7,499"
10727,"50,000-59,999"
10730,"100,000-124,999"
10733,"15,000-19,999"
10734,$0-999
10737,"10,000-14,999"
10740,"50,000-59,999"
10744,"1,000-1,999"
10753,"25,000-29,999"
10754,"100,000-124,999"
10757,"125,000-149,999"
10759,$0-999
10762,"60,000-69,999"
10763,"7,500-9,999"
10766,"15,000-19,999"
10768,"$500,000-999,999"
10769,"30,000-39,999"
10772,"100,000-124,999"
10778,"30,000-39,999"
10780,"50,000-59,999"
10781,"100,000-124,999"
10782,"1,000-1,999"
10788,"25,000-29,999"
10789,"50,000-59,999"
10790,"40,000-49,999"
10792,"100,000-124,999"
10796,"60,000-69,999"
10803,"40,000-49,999"
10805,"80,000-89,999"
10809,"150,000-199,999"
10810,"15,000-19,999"
10814,"5,000-7,499"
10818,"1,000-1,999"
10821,"10,000-14,999"
10822,"200,000-249,999"
10824,"50,000-59,999"
10825,"80,000-89,999"
10826,"25,000-29,999"
10827,"1,000-1,999"
10828,"40,000-49,999"
10829,"5,000-7,499"
10832,"150,000-199,999"
10833,"125,000-149,999"
10835,"15,000-19,999"
10836,"50,000-59,999"
10839,"1,000-1,999"
10842,"90,000-99,999"
10845,"30,000-39,999"
10846,"40,000-49,999"
10852,$0-999
10858,"60,000-69,999"
10859,"3,000-3,999"
10861,"1,000-1,999"
10862,"70,000-79,999"
10865,"1,000-1,999"
10866,"5,000-7,499"
10870,"1,000-1,999"
10872,$0-999
10879,$0-999
10881,"250,000-299,999"
10882,"60,000-69,999"
10889,"2,000-2,999"
10892,"10,000-14,999"
10893,"200,000-249,999"
10894,"5,000-7,499"
10895,$0-999
10898,$0-999
10899,"125,000-149,999"
10901,"10,000-14,999"
10902,"70,000-79,999"
10904,"5,000-7,499"
10905,"15,000-19,999"
10906,"10,000-14,999"
10909,"25,000-29,999"
10917,$0-999
10920,"2,000-2,999"
10921,"200,000-249,999"
10924,"60,000-69,999"
10927,"10,000-14,999"
10933,"5,000-7,499"
10934,"90,000-99,999"
10936,"10,000-14,999"
10937,"125,000-149,999"
10939,"100,000-124,999"
10940,"60,000-69,999"
10943,"60,000-69,999"
10944,"10,000-14,999"
10945,"10,000-14,999"
10946,"90,000-99,999"
10947,"150,000-199,999"
10955,"60,000-69,999"
10957,"20,000-24,999"
10958,"20,000-24,999"
10959,"80,000-89,999"
10963,$0-999
10965,"2,000-2,999"
10969,"125,000-149,999"
10972,$0-999
10974,"3,000-3,999"
10978,"125,000-149,999"
10979,"100,000-124,999"
10980,"20,000-24,999"
10981,"250,000-299,999"
10983,"1,000-1,999"
10987,"100,000-124,999"
10988,"60,000-69,999"
10992,"40,000-49,999"
10994,"10,000-14,999"
10995,"5,000-7,499"
10998,"100,000-124,999"
11000,"100,000-124,999"
11005,$0-999
11007,"7,500-9,999"
11010,"150,000-199,999"
11016,"25,000-29,999"
11017,"2,000-2,999"
11018,$0-999
11021,"5,000-7,499"
11024,$0-999
11025,"50,000-59,999"
11028,"25,000-29,999"
11031,"90,000-99,999"
11038,"7,500-9,999"
11041,"4,000-4,999"
11043,"20,000-24,999"
11044,$0-999
11046,$0-999
11048,"100,000-124,999"
11049,"50,000-59,999"
11050,"80,000-89,999"
11051,"100,000-124,999"
11053,"15,000-19,999"
11056,"20,000-24,999"
11060,"1,000-1,999"
11061,"10,000-14,999"
11062,"10,000-14,999"
11064,"100,000-124,999"
11073,"7,500-9,999"
11074,"80,000-89,999"
11075,"3,000-3,999"
11076,$0-999
11077,$0-999
11078,"7,500-9,999"
11079,"80,000-89,999"
11080,"1,000-1,999"
11082,"25,000-29,999"
11083,"90,000-99,999"
11084,"80,000-89,999"
11085,"3,000-3,999"
11087,"40,000-49,999"
11090,"4,000-4,999"
11091,"100,000-124,999"
11092,"3,000-3,999"
11097,"1,000-1,999"
11107,"100,000-124,999"
11108,"50,000-59,999"
11111,"3,000-3,999"
11112,"15,000-19,999"
11113,"15,000-19,999"
11114,"300,000-499,999"
11115,"5,000-7,499"
11118,"40,000-49,999"
11121,"20,000-24,999"
11122,"10,000-14,999"
11132,"300,000-499,999"
11133,$0-999
11134,"2,000-2,999"
11144,"30,000-39,999"
11147,"150,000-199,999"
11149,"70,000-79,999"
11152,$0-999
11153,"30,000-39,999"
11159,"$500,000-999,999"
11163,"4,000-4,999"
11165,"40,000-49,999"
11168,$0-999
11169,$0-999
11171,"50,000-59,999"
11173,$0-999
11177,"70,000-79,999"
11178,"15,000-19,999"
11185,"100,000-124,999"
11186,"40,000-49,999"
11190,"150,000-199,999"
11191,"90,000-99,999"
11195,"100,000-124,999"
11196,$0-999
11198,"40,000-49,999"
11199,"20,000-24,999"
11201,"200,000-249,999"
11202,"30,000-39,999"
11204,$0-999
11205,"3,000-3,999"
11213,"100,000-124,999"
11215,$0-999
11216,"30,000-39,999"
11223,"25,000-29,999"
11225,"25,000-29,999"
11226,"50,000-59,999"
11228,"90,000-99,999"
11232,"125,000-149,999"
11235,"40,000-49,999"
11237,"1,000-1,999"
11239,"5,000-7,499"
11240,$0-999
11243,"20,000-24,999"
11246,"5,000-7,499"
11247,"60,000-69,999"
11249,"60,000-69,999"
11250,$0-999
11251,"1,000-1,999"
11254,"80,000-89,999"
11255,"7,500-9,999"
11259,"100,000-124,999"
11260,"50,000-59,999"
11267,"3,000-3,999"
11275,$0-999
11278,"1,000-1,999"
11280,"5,000-7,499"
11281,"1,000-1,999"
11283,"1,000-1,999"
11291,"3,000-3,999"
11297,"25,000-29,999"
11302,"1,000-1,999"
11303,"60,000-69,999"
11306,$0-999
11311,"300,000-499,999"
11314,"5,000-7,499"
11316,$0-999
11318,"5,000-7,499"
11324,"30,000-39,999"
11325,"20,000-24,999"
11326,"60,000-69,999"
11331,"5,000-7,499"
11333,"70,000-79,999"
11336,"4,000-4,999"
11343,"60,000-69,999"
11345,"1,000-1,999"
11348,"150,000-199,999"
11349,$0-999
11351,"20,000-24,999"
11358,"60,000-69,999"
11361,"150,000-199,999"
11364,"5,000-7,499"
11365,"40,000-49,999"
11369,"50,000-59,999"
11373,"40,000-49,999"
11375,$0-999
11376,"15,000-19,999"
11378,"15,000-19,999"
11381,"70,000-79,999"
11387,$0-999
11394,"50,000-59,999"
11396,"3,000-3,999"
11397,"90,000-99,999"
11401,"70,000-79,999"
11404,"15,000-19,999"
11406,"15,000-19,999"
11407,$0-999
11409,"4,000-4,999"
11412,"250,000-299,999"
11414,"100,000-124,999"
11415,$0-999
11419,"1,000-1,999"
11421,"3,000-3,999"
11424,"100,000-124,999"
11425,"50,000-59,999"
11434,"40,000-49,999"
11439,"5,000-7,499"
11441,"10,000-14,999"
11443,"50,000-59,999"
11445,$0-999
11449,"30,000-39,999"
11452,"200,000-249,999"
11454,"250,000-299,999"
11455,"4,000-4,999"
11456,"2,000-2,999"
11457,"7,500-9,999"
11460,"60,000-69,999"
11471,"60,000-69,999"
11473,"150,000-199,999"
11477,"20,000-24,999"
11481,"3,000-3,999"
11482,"1,000-1,999"
11501,$0-999
11504,"100,000-124,999"
11505,"30,000-39,999"
11507,"7,500-9,999"
11518,"70,000-79,999"
11519,"20,000-24,999"
11522,"15,000-19,999"
11524,"20,000-24,999"
11526,"70,000-79,999"
11534,"30,000-39,999"
11538,$0-999
11539,"4,000-4,999"
11541,"20,000-24,999"
11546,"50,000-59,999"
11548,"50,000-59,999"
11549,"5,000-7,499"
11554,"125,000-149,999"
11558,"7,500-9,999"
11559,"25,000-29,999"
11560,"30,000-39,999"
11562,"30,000-39,999"
11563,$0-999
11564,"7,500-9,999"
11568,"50,000-59,999"
11571,"60,000-69,999"
11576,$0-999
11579,"20,000-24,999"
11586,"70,000-79,999"
11589,"15,000-19,999"
11592,"30,000-39,999"
11596,"125,000-149,999"
11602,"10,000-14,999"
11603,"20,000-24,999"
11608,$0-999
11609,"200,000-249,999"
11614,"80,000-89,999"
11616,"10,000-14,999"
11617,"90,000-99,999"
11625,"$500,000-999,999"
11627,"30,000-39,999"
11629,"10,000-14,999"
11633,$0-999
11634,"100,000-124,999"
11635,"15,000-19,999"
11643,$0-999
11646,"2,000-2,999"
11650,"10,000-14,999"
11673,$0-999
11676,"60,000-69,999"
11678,$0-999
11679,"40,000-49,999"
11689,"25,000-29,999"
11690,"70,000-79,999"
11700,$0-999
11702,"7,500-9,999"
11703,"40,000-49,999"
11706,"5,000-7,499"
11710,"125,000-149,999"
11711,"10,000-14,999"
11712,"30,000-39,999"
11715,$0-999
11716,"50,000-59,999"
11718,"7,500-9,999"
11719,"90,000-99,999"
11720,"$500,000-999,999"
11725,"200,000-249,999"
11728,$0-999
11729,"30,000-39,999"
11732,"5,000-7,499"
11733,"2,000-2,999"
11734,"80,000-89,999"
11735,"30,000-39,999"
11737,"1,000-1,999"
11738,"15,000-19,999"
11740,"40,000-49,999"
11742,"150,000-199,999"
11748,"30,000-39,999"
11749,"3,000-3,999"
11750,"25,000-29,999"
11751,$0-999
11752,$0-999
11753,"300,000-499,999"
11757,"50,000-59,999"
11759,"10,000-14,999"
11760,"15,000-19,999"
11761,$0-999
11763,"50,000-59,999"
11765,$0-999
11768,"5,000-7,499"
11772,"30,000-39,999"
11775,"90,000-99,999"
11776,$0-999
11783,"5,000-7,499"
11787,"20,000-24,999"
11788,"20,000-24,999"
11790,"1,000-1,999"
11791,"1,000-1,999"
11795,"60,000-69,999"
11797,"5,000-7,499"
11798,"80,000-89,999"
11801,"5,000-7,499"
11802,"150,000-199,999"
11805,"10,000-14,999"
11807,"5,000-7,499"
11808,$0-999
11809,"200,000-249,999"
11817,"125,000-149,999"
11821,"10,000-14,999"
11826,"30,000-39,999"
11827,"250,000-299,999"
11830,"15,000-19,999"
11833,"60,000-69,999"
11838,"1,000-1,999"
11839,"10,000-14,999"
11842,"30,000-39,999"
11843,"$500,000-999,999"
11845,$0-999
11851,"125,000-149,999"
11853,"10,000-14,999"
11855,"30,000-39,999"
11858,"3,000-3,999"
11861,"1,000-1,999"
11866,"30,000-39,999"
11867,"10,000-14,999"
11874,"5,000-7,499"
11883,"10,000-14,999"
11885,"150,000-199,999"
11886,$0-999
11888,"4,000-4,999"
11889,"2,000-2,999"
11890,$0-999
11899,"7,500-9,999"
11902,$0-999
11905,"$500,000-999,999"
11907,"7,500-9,999"
11909,$0-999
11910,"50,000-59,999"
11911,"20,000-24,999"
11916,"5,000-7,499"
11925,"70,000-79,999"
11928,"3,000-3,999"
11929,"80,000-89,999"
11930,"70,000-79,999"
11934,"60,000-69,999"
11940,"5,000-7,499"
11943,"20,000-24,999"
11947,"1,000-1,999"
11948,$0-999
11951,"25,000-29,999"
11952,"50,000-59,999"
11953,"5,000-7,499"
11957,"60,000-69,999"
11963,"30,000-39,999"
11967,"20,000-24,999"
11970,$0-999
11979,"300,000-499,999"
11983,"10,000-14,999"
11984,"50,000-59,999"
11987,"70,000-79,999"
11989,"100,000-124,999"
11993,"7,500-9,999"
11994,$0-999
11995,"1,000-1,999"
11997,$0-999
11999,"15,000-19,999"
12000,"10,000-14,999"
12001,"7,500-9,999"
12002,"20,000-24,999"
12009,"40,000-49,999"
12012,"40,000-49,999"
12014,"200,000-249,999"
12016,"90,000-99,999"
12019,"$500,000-999,999"
12021,"70,000-79,999"
12025,$0-999
12030,"20,000-24,999"
12031,"1,000-1,999"
12033,"100,000-124,999"
12035,"100,000-124,999"
12037,$0-999
12039,"90,000-99,999"
12040,$0-999
12044,"60,000-69,999"
12049,"1,000-1,999"
12053,"70,000-79,999"
12056,"4,000-4,999"
12057,"2,000-2,999"
12062,"60,000-69,999"
12063,"1,000-1,999"
12066,"150,000-199,999"
12068,"150,000-199,999"
12071,"70,000-79,999"
12073,"250,000-299,999"
12076,"4,000-4,999"
12079,"10,000-14,999"
12083,$0-999
12084,$0-999
12087,"50,000-59,999"
12088,"10,000-14,999"
12090,"7,500-9,999"
12091,"7,500-9,999"
12095,"70,000-79,999"
12097,"20,000-24,999"
12112,"150,000-199,999"
12125,"100,000-124,999"
12128,"4,000-4,999"
12133,"125,000-149,999"
12135,"25,000-29,999"
12140,"30,000-39,999"
12147,"125,000-149,999"
12149,"25,000-29,999"
12164,"30,000-39,999"
12165,"125,000-149,999"
12166,"10,000-14,999"
12167,$0-999
12168,"30,000-39,999"
12174,"1,000-1,999"
12177,"100,000-124,999"
12182,$0-999
12184,"150,000-199,999"
12191,"10,000-14,999"
12192,"10,000-14,999"
12193,$0-999
12200,"10,000-14,999"
12202,$0-999
12203,"50,000-59,999"
12204,"25,000-29,999"
12205,"20,000-24,999"
12210,"15,000-19,999"
12213,"300,000-499,999"
12217,"30,000-39,999"
12225,"30,000-39,999"
12226,"7,500-9,999"
12228,$0-999
12229,"20,000-24,999"
12232,"80,000-89,999"
12233,"7,500-9,999"
12235,"3,000-3,999"
12237,"200,000-249,999"
12239,"40,000-49,999"
12243,"7,500-9,999"
12250,"125,000-149,999"
12254,"50,000-59,999"
12255,"60,000-69,999"
12262,"60,000-69,999"
12263,"10,000-14,999"
12264,"200,000-249,999"
12268,"60,000-69,999"
12278,"10,000-14,999"
12279,"100,000-124,999"
12285,"30,000-39,999"
12286,"40,000-49,999"
12288,$0-999
12292,"7,500-9,999"
12293,"30,000-39,999"
12294,"100,000-124,999"
12295,"50,000-59,999"
12298,$0-999
12303,"50,000-59,999"
12306,"7,500-9,999"
12312,"70,000-79,999"
12317,"5,000-7,499"
12320,"90,000-99,999"
12324,"200,000-249,999"
12329,"250,000-299,999"
12330,"150,000-199,999"
12332,"60,000-69,999"
12335,"25,000-29,999"
12336,"150,000-199,999"
12337,"30,000-39,999"
12341,"2,000-2,999"
12343,"60,000-69,999"
12344,"125,000-149,999"
12350,"15,000-19,999"
12354,"30,000-39,999"
12356,"90,000-99,999"
12358,"25,000-29,999"
12359,"40,000-49,999"
12367,"1,000-1,999"
12368,"300,000-499,999"
12371,"2,000-2,999"
12372,"7,500-9,999"
12377,"100,000-124,999"
12381,"4,000-4,999"
12384,"60,000-69,999"
12386,$0-999
12387,"40,000-49,999"
12398,"25,000-29,999"
12399,"50,000-59,999"
12402,$0-999
12403,"60,000-69,999"
12405,$0-999
12406,$0-999
12411,"80,000-89,999"
12415,"3,000-3,999"
12422,"5,000-7,499"
12424,"150,000-199,999"
12427,"40,000-49,999"
12428,"5,000-7,499"
12432,"70,000-79,999"
12435,"25,000-29,999"
12441,"250,000-299,999"
12442,"80,000-89,999"
12445,"7,500-9,999"
12446,"25,000-29,999"
12447,"70,000-79,999"
12448,"5,000-7,499"
12449,"20,000-24,999"
12451,"10,000-14,999"
12452,"40,000-49,999"
12454,"100,000-124,999"
12458,"70,000-79,999"
12460,"30,000-39,999"
12462,"125,000-149,999"
12471,"50,000-59,999"
12472,"25,000-29,999"
12474,"40,000-49,999"
12480,"1,000-1,999"
12484,"4,000-4,999"
12493,"200,000-249,999"
12497,"25,000-29,999"
12511,"7,500-9,999"
12517,$0-999
12536,"4,000-4,999"
12537,"150,000-199,999"
12548,"15,000-19,999"
12549,$0-999
12553,"2,000-2,999"
12554,$0-999
12559,"125,000-149,999"
12562,"60,000-69,999"
12571,"5,000-7,499"
12572,"80,000-89,999"
12575,"100,000-124,999"
12576,"100,000-124,999"
12577,"2,000-2,999"
12584,"7,500-9,999"
12587,"1,000-1,999"
12591,"40,000-49,999"
12594,"1,000-1,999"
12601,"2,000-2,999"
12602,"60,000-69,999"
12604,"60,000-69,999"
12606,"2,000-2,999"
12608,$0-999
12609,"1,000-1,999"
12610,"1,000-1,999"
12612,"1,000-1,999"
12618,"20,000-24,999"
12630,"10,000-14,999"
12633,"10,000-14,999"
12638,"70,000-79,999"
12639,"50,000-59,999"
12640,"60,000-69,999"
12642,"30,000-39,999"
12652,"7,500-9,999"
12656,$0-999
12660,"80,000-89,999"
12663,"15,000-19,999"
12666,$0-999
12669,"7,500-9,999"
12670,"50,000-59,999"
12676,"1,000-1,999"
12677,"7,500-9,999"
12679,$0-999
12681,$0-999
12682,"70,000-79,999"
12683,"10,000-14,999"
12684,"100,000-124,999"
12685,$0-999
12692,$0-999
12695,"5,000-7,499"
12699,"50,000-59,999"
12701,"20,000-24,999"
12705,"25,000-29,999"
12707,"125,000-149,999"
12714,"3,000-3,999"
12715,$0-999
12718,"60,000-69,999"
12723,"2,000-2,999"
12724,"150,000-199,999"
12726,$0-999
12729,"5,000-7,499"
12732,"80,000-89,999"
12741,"2,000-2,999"
12743,"125,000-149,999"
12744,"4,000-4,999"
12749,"20,000-24,999"
12752,"7,500-9,999"
12756,"70,000-79,999"
12757,"3,000-3,999"
12762,"50,000-59,999"
12766,"5,000-7,499"
12769,"70,000-79,999"
12779,$0-999
12780,"70,000-79,999"
12781,"10,000-14,999"
12783,"1,000-1,999"
12785,"80,000-89,999"
12786,$0-999
12789,"10,000-14,999"
12790,$0-999
12795,"60,000-69,999"
12796,"70,000-79,999"
12802,"60,000-69,999"
12804,"40,000-49,999"
12808,"100,000-124,999"
12810,"15,000-19,999"
12811,"200,000-249,999"
12816,"20,000-24,999"
12817,"100,000-124,999"
12818,"50,000-59,999"
12819,"70,000-79,999"
12820,"150,000-199,999"
12823,$0-999
12824,"7,500-9,999"
12828,"4,000-4,999"
12831,"10,000-14,999"
12834,"125,000-149,999"
12838,"40,000-49,999"
12839,"30,000-39,999"
12841,"10,000-14,999"
12842,"3,000-3,999"
12843,"40,000-49,999"
12845,"5,000-7,499"
12849,"60,000-69,999"
12853,"30,000-39,999"
12857,"60,000-69,999"
12858,"10,000-14,999"
12859,$0-999
12861,"125,000-149,999"
12864,"125,000-149,999"
12865,"7,500-9,999"
12866,"100,000-124,999"
12873,"60,000-69,999"
12875,"90,000-99,999"
12877,"60,000-69,999"
12882,"4,000-4,999"
12889,"1,000-1,999"
12890,"7,500-9,999"
12896,"80,000-89,999"
12897,"4,000-4,999"
12898,"100,000-124,999"
12899,"5,000-7,499"
12904,$0-999
12906,"10,000-14,999"
12907,"25,000-29,999"
12909,"30,000-39,999"
12916,"125,000-149,999"
12920,"15,000-19,999"
12926,"40,000-49,999"
12935,$0-999
12939,"100,000-124,999"
12945,"7,500-9,999"
12948,"15,000-19,999"
12952,"25,000-29,999"
12953,"90,000-99,999"
12957,"5,000-7,499"
12960,"4,000-4,999"
12961,"50,000-59,999"
12963,"3,000-3,999"
12964,"40,000-49,999"
12965,"40,000-49,999"
12967,"5,000-7,499"
12969,"100,000-124,999"
12972,"150,000-199,999"
12979,"1,000-1,999"
12986,"125,000-149,999"
12987,"2,000-2,999"
12988,"60,000-69,999"
12990,"20,000-24,999"
12991,"25,000-29,999"
12992,"150,000-199,999"
12997,"5,000-7,499"
12999,"5,000-7,499"
13000,"150,000-199,999"
13001,"25,000-29,999"
13002,"25,000-29,999"
13006,"7,500-9,999"
13008,">$1,000,000"
13014,"60,000-69,999"
13016,"70,000-79,999"
13017,"250,000-299,999"
13019,"70,000-79,999"
13020,$0-999
13023,"150,000-199,999"
13026,"30,000-39,999"
13027,"90,000-99,999"
13029,$0-999
13030,"40,000-49,999"
13036,"7,500-9,999"
13038,"100,000-124,999"
13039,"200,000-249,999"
13041,"30,000-39,999"
13043,"1,000-1,999"
13054,"25,000-29,999"
13056,"30,000-39,999"
13061,"100,000-124,999"
13062,"20,000-24,999"
13065,"80,000-89,999"
13066,$0-999
13069,"10,000-14,999"
13070,$0-999
13072,"80,000-89,999"
13077,"25,000-29,999"
13078,"25,000-29,999"
13079,"20,000-24,999"
13081,"2,000-2,999"
13083,"20,000-24,999"
13084,"15,000-19,999"
13086,"40,000-49,999"
13088,"150,000-199,999"
13096,"125,000-149,999"
13097,"1,000-1,999"
13107,"80,000-89,999"
13109,"10,000-14,999"
13111,"5,000-7,499"
13112,"$500,000-999,999"
13114,$0-999
13117,$0-999
13118,"30,000-39,999"
13121,"90,000-99,999"
13127,"30,000-39,999"
13128,"50,000-59,999"
13129,"5,000-7,499"
13133,"125,000-149,999"
13134,"125,000-149,999"
13138,"125,000-149,999"
13141,"125,000-149,999"
13144,$0-999
13145,"2,000-2,999"
13147,"20,000-24,999"
13156,$0-999
13157,"7,500-9,999"
13159,"60,000-69,999"
13165,"10,000-14,999"
13166,"60,000-69,999"
13175,"2,000-2,999"
13177,"150,000-199,999"
13178,$0-999
13181,"4,000-4,999"
13182,"15,000-19,999"
13186,"10,000-14,999"
13188,$0-999
13193,"5,000-7,499"
13195,"60,000-69,999"
13206,$0-999
13208,"40,000-49,999"
13209,$0-999
13216,"100,000-124,999"
13219,$0-999
13220,$0-999
13226,"100,000-124,999"
13227,"150,000-199,999"
13228,$0-999
13229,"40,000-49,999"
13236,$0-999
13238,"1,000-1,999"
13239,"50,000-59,999"
13241,"80,000-89,999"
13243,"7,500-9,999"
13244,$0-999
13246,"80,000-89,999"
13248,"40,000-49,999"
13254,"1,000-1,999"
13257,"20,000-24,999"
13262,"3,000-3,999"
13264,"1,000-1,999"
13265,"150,000-199,999"
13267,"60,000-69,999"
13268,"10,000-14,999"
13274,"60,000-69,999"
13275,"80,000-89,999"
13279,"150,000-199,999"
13281,$0-999
13284,"25,000-29,999"
13288,"1,000-1,999"
13289,"4,000-4,999"
13290,"80,000-89,999"
13291,"5,000-7,499"
13294,"70,000-79,999"
13295,"20,000-24,999"
13296,"60,000-69,999"
13311,"125,000-149,999"
13312,"30,000-39,999"
13318,"2,000-2,999"
13320,"5,000-7,499"
13322,"10,000-14,999"
13328,"25,000-29,999"
13329,$0-999
13330,"90,000-99,999"
13334,$0-999
13336,"5,000-7,499"
13339,"15,000-19,999"
13342,"15,000-19,999"
13347,"40,000-49,999"
13348,"200,000-249,999"
13349,"150,000-199,999"
13350,"40,000-49,999"
13353,"20,000-24,999"
13360,"30,000-39,999"
13362,"10,000-14,999"
13366,"1,000-1,999"
13370,$0-999
13375,"150,000-199,999"
13388,"7,500-9,999"
13389,"100,000-124,999"
13394,"100,000-124,999"
13395,"25,000-29,999"
13396,"15,000-19,999"
13397,"10,000-14,999"
13401,"4,000-4,999"
13403,"50,000-59,999"
13406,"20,000-24,999"
13409,"30,000-39,999"
13415,"50,000-59,999"
13416,"4,000-4,999"
13417,"40,000-49,999"
13421,$0-999
13428,"100,000-124,999"
13430,"30,000-39,999"
13434,"200,000-249,999"
13437,"30,000-39,999"
13438,"4,000-4,999"
13444,$0-999
13445,"125,000-149,999"
13446,"20,000-24,999"
13447,"80,000-89,999"
13453,"15,000-19,999"
13461,$0-999
13467,$0-999
13471,"40,000-49,999"
13476,"125,000-149,999"
13477,"1,000-1,999"
13478,"7,500-9,999"
13479,$0-999
13482,"50,000-59,999"
13484,"125,000-149,999"
13485,"70,000-79,999"
13488,"50,000-59,999"
13493,"60,000-69,999"
13494,"2,000-2,999"
13498,"60,000-69,999"
13501,"25,000-29,999"
13506,"125,000-149,999"
13510,"3,000-3,999"
13511,"4,000-4,999"
13518,"2,000-2,999"
13522,"3,000-3,999"
13525,"100,000-124,999"
13526,"5,000-7,499"
13528,"90,000-99,999"
13529,"90,000-99,999"
13530,"80,000-89,999"
13531,"50,000-59,999"
13532,"250,000-299,999"
13533,"90,000-99,999"
13537,"30,000-39,999"
13539,"7,500-9,999"
13541,"60,000-69,999"
13542,$0-999
13543,"15,000-19,999"
13546,"50,000-59,999"
13548,"125,000-149,999"
13549,"100,000-124,999"
13550,"1,000-1,999"
13556,"10,000-14,999"
13561,$0-999
13565,"60,000-69,999"
13575,"1,000-1,999"
13576,"125,000-149,999"
13578,"30,000-39,999"
13580,"90,000-99,999"
13587,"10,000-14,999"
13588,"2,000-2,999"
13591,"1,000-1,999"
13592,$0-999
13596,"10,000-14,999"
13604,"15,000-19,999"
13605,"30,000-39,999"
13607,$0-999
13609,"60,000-69,999"
